0,1,2,3,4,5,6,7,8,9,10
liquor,red/blush wine,,,,,,,,,
organic sausage,UHT-milk,,,,,,,,,
hard cheese,curd,,,,,,,,,
other vegetables,canned beer,shopping bags,,,,,,,,
curd,whole milk,canned beer,,,,,,,,
other vegetables,whole milk,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
chicken,coffee,,,,,,,,,
coffee,packaged fruit/vegetables,bottled water,pastry,,,,,,,
onions,oil,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
napkins,canned vegetables,,,,,,,,,
canned beer,flour,,,,,,,,,
citrus fruit,oil,whole milk,,,,,,,,
packaged fruit/vegetables,bottled water,pork,domestic eggs,,,,,,,
whole milk,domestic eggs,,,,,,,,,
citrus fruit,tropical fruit,soda,coffee,domestic eggs,,,,,,
frozen vegetables,sausage,whole milk,frozen vegetables,rolls/buns,other vegetables,oil,frozen fish,baking powder,,
soda,yogurt,,,,,,,,,
salty snack,yogurt,,,,,,,,,
sausage,pip fruit,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
ham,rolls/buns,,,,,,,,,
frankfurter,cat food,,,,,,,,,
yogurt,newspapers,,,,,,,,,
whipped/sour cream,tropical fruit,,,,,,,,,
hard cheese,mayonnaise,,,,,,,,,
tropical fruit,pork,coffee,canned beer,shopping bags,chocolate,,,,,
meat,whipped/sour cream,,,,,,,,,
whipped/sour cream,tropical fruit,,,,,,,,,
pork,soda,,,,,,,,,
beef,condensed milk,specialty chocolate,,,,,,,,
rolls/buns,bottled water,vinegar,,,,,,,,
sausage,whole milk,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
rolls/buns,candy,,,,,,,,,
sausage,canned beer,frozen vegetables,detergent,,,,,,,
sausage,whole milk,,,,,,,,,
finished products,bottled water,cling film/bags,,,,,,,,
sausage,dessert,,,,,,,,,
misc. beverages,root vegetables,frozen vegetables,rolls/buns,,,,,,,
ham,coffee,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
chicken,root vegetables,yogurt,,,,,,,,
pickled vegetables,soda,,,,,,,,,
pork,butter,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
white bread,coffee,,,,,,,,,
whole milk,red/blush wine,newspapers,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
canned beer,canned beer,,,,,,,,,
canned beer,salty snack,soda,,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
beef,meat spreads,,,,,,,,,
shopping bags,beef,citrus fruit,cat food,,,,,,,
pastry,frozen fish,,,,,,,,,
rolls/buns,pet care,,,,,,,,,
other vegetables,salty snack,,,,,,,,,
fruit/vegetable juice,bottled beer,,,,,,,,,
salt,fruit/vegetable juice,,,,,,,,,
pastry,napkins,pastry,,,,,,,,
bottled water,beverages,pastry,,,,,,,,
soda,brown bread,,,,,,,,,
onions,curd,,,,,,,,,
butter milk,UHT-milk,,,,,,,,,
sugar,brown bread,,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
soda,canned fish,,,,,,,,,
waffles,beverages,,,,,,,,,
sausage,yogurt,,,,,,,,,
onions,waffles,bottled beer,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
whole milk,onions,,,,,,,,,
other vegetables,specialty bar,,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
citrus fruit,pickled vegetables,,,,,,,,,
tea,light bulbs,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
newspapers,coffee,soft cheese,,,,,,,,
soda,yogurt,sliced cheese,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
butter,newspapers,,,,,,,,,
liquor,other vegetables,whole milk,other vegetables,,,,,,,
citrus fruit,candy,,,,,,,,,
shopping bags,chocolate,,,,,,,,,
hamburger meat,liquor (appetizer),liver loaf,dessert,,,,,,,
tropical fruit,soda,,,,,,,,,
UHT-milk,soft cheese,,,,,,,,,
root vegetables,soft cheese,,,,,,,,,
other vegetables,dog food,,,,,,,,,
sausage,brown bread,meat spreads,,,,,,,,
soda,root vegetables,fruit/vegetable juice,,,,,,,,
root vegetables,cleaner,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
frozen meals,rolls/buns,chocolate marshmallow,,,,,,,,
canned beer,hygiene articles,,,,,,,,,
sausage,sausage,,,,,,,,,
ham,yogurt,,,,,,,,,
soda,margarine,,,,,,,,,
whole milk,curd,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
whipped/sour cream,white bread,,,,,,,,,
root vegetables,pastry,soda,,,,,,,,
other vegetables,bottled water,hard cheese,,,,,,,,
beef,whole milk,pet care,citrus fruit,,,,,,,
finished products,margarine,whipped/sour cream,,,,,,,,
sausage,chocolate,specialty chocolate,cocoa drinks,,,,,,,
ice cream,specialty chocolate,semi-finished bread,,,,,,,,
ham,curd,,,,,,,,,
dessert,butter,,,,,,,,,
beef,whole milk,frozen vegetables,soda,,,,,,,
shopping bags,whole milk,,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
bottled beer,butter,frozen vegetables,whole milk,,,,,,,
pip fruit,canned fish,organic sausage,pastry,,,,,,,
ham,brown bread,,,,,,,,,
specialty cheese,other vegetables,,,,,,,,,
yogurt,citrus fruit,,,,,,,,,
grapes,meat spreads,domestic eggs,,,,,,,,
pip fruit,specialty chocolate,,,,,,,,,
whole milk,butter,newspapers,,,,,,,,
onions,coffee,,,,,,,,,
newspapers,chicken,pip fruit,,,,,,,,
beef,coffee,,,,,,,,,
beef,rolls/buns,,,,,,,,,
hygiene articles,shopping bags,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
tropical fruit,detergent,,,,,,,,,
tropical fruit,sausage,tropical fruit,detergent,butter,newspapers,,,,,
whole milk,shopping bags,newspapers,,,,,,,,
napkins,pastry,,,,,,,,,
butter milk,other vegetables,,,,,,,,,
coffee,canned fish,,,,,,,,,
grapes,pastry,,,,,,,,,
soda,curd,flower (seeds),,,,,,,,
other vegetables,mayonnaise,fruit/vegetable juice,,,,,,,,
chicken,shopping bags,,,,,,,,,
bathroom cleaner,popcorn,,,,,,,,,
cream cheese ,sugar,,,,,,,,,
sausage,frozen meals,,,,,,,,,
soda,curd,soda,,,,,,,,
UHT-milk,brown bread,,,,,,,,,
ham,tropical fruit,,,,,,,,,
curd,cream cheese ,,,,,,,,,
white bread,whipped/sour cream,frozen dessert,pastry,,,,,,,
frankfurter,UHT-milk,,,,,,,,,
zwieback,butter,,,,,,,,,
beverages,pastry,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
beef,brown bread,,,,,,,,,
root vegetables,instant coffee,root vegetables,,,,,,,,
sausage,cake bar,,,,,,,,,
citrus fruit,other vegetables,dessert,bottled beer,,,,,,,
chicken,hygiene articles,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
root vegetables,coffee,,,,,,,,,
bottled beer,pastry,,,,,,,,,
chicken,coffee,,,,,,,,,
citrus fruit,napkins,,,,,,,,,
shopping bags,tropical fruit,red/blush wine,,,,,,,,
meat,whole milk,,,,,,,,,
fruit/vegetable juice,white wine,,,,,,,,,
pip fruit,curd cheese,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
hamburger meat,curd,,,,,,,,,
whole milk,brown bread,root vegetables,roll products ,,,,,,,
hamburger meat,hygiene articles,soda,tropical fruit,,,,,,,
napkins,soda,,,,,,,,,
frankfurter,sliced cheese,butter,,,,,,,,
bottled beer,whole milk,tropical fruit,whole milk,hygiene articles,pot plants,soda,,,,
beef,tropical fruit,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
root vegetables,pork,soda,coffee,pastry,,,,,,
dish cleaner,bottled beer,fruit/vegetable juice,,,,,,,,
rolls/buns,newspapers,shopping bags,,,,,,,,
pork,tropical fruit,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
grapes,frozen meals,flower (seeds),,,,,,,,
whole milk,margarine,dessert,,,,,,,,
chocolate,margarine,,,,,,,,,
chicken,root vegetables,whole milk,rolls/buns,,,,,,,
sugar,fruit/vegetable juice,,,,,,,,,
oil,misc. beverages,,,,,,,,,
packaged fruit/vegetables,frozen fruits,rolls/buns,,,,,,,,
pork,brown bread,,,,,,,,,
tropical fruit,yogurt,semi-finished bread,soda,,,,,,,
rolls/buns,butter milk,,,,,,,,,
canned beer,long life bakery product,,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
citrus fruit,beef,tropical fruit,curd,,,,,,,
beverages,mustard,yogurt,,,,,,,,
sausage,white bread,,,,,,,,,
specialty vegetables,yogurt,,,,,,,,,
soda,herbs,canned beer,soda,seasonal products,dishes,yogurt,mayonnaise,flower (seeds),,
whole milk,other vegetables,red/blush wine,coffee,other vegetables,bottled water,bottled water,sugar,,,
UHT-milk,pastry,bottled water,,,,,,,,
specialty bar,soda,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
whipped/sour cream,canned beer,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
candles,other vegetables,,,,,,,,,
rolls/buns,misc. beverages,bottled water,decalcifier,semi-finished bread,soda,,,,,
curd,soda,,,,,,,,,
cake bar,bottled beer,,,,,,,,,
whole milk,sliced cheese,dish cleaner,,,,,,,,
whole milk,yogurt,,,,,,,,,
shopping bags,skin care,,,,,,,,,
citrus fruit,cereals,,,,,,,,,
butter,shopping bags,newspapers,,,,,,,,
dessert,brown bread,,,,,,,,,
tropical fruit,root vegetables,rolls/buns,,,,,,,,
beef,other vegetables,,,,,,,,,
tropical fruit,onions,,,,,,,,,
frankfurter,dessert,pet care,soda,whipped/sour cream,,,,,,
canned beer,pip fruit,frozen vegetables,dessert,canned vegetables,,,,,,
brown bread,soda,,,,,,,,,
white bread,cleaner,,,,,,,,,
rice,coffee,,,,,,,,,
butter,yogurt,,,,,,,,,
beef,other vegetables,bottled water,,,,,,,,
whole milk,cream cheese ,semi-finished bread,,,,,,,,
pip fruit,soda,condensed milk,,,,,,,,
turkey,curd,sugar,,,,,,,,
canned beer,frozen fish,,,,,,,,,
beef,citrus fruit,,,,,,,,,
beef,spread cheese,bottled water,waffles,,,,,,,
root vegetables,white wine,,,,,,,,,
whole milk,pastry,chewing gum,shopping bags,,,,,,,
bottled water,newspapers,,,,,,,,,
coffee,pip fruit,,,,,,,,,
dessert,curd,,,,,,,,,
pastry,whipped/sour cream,domestic eggs,,,,,,,,
whole milk,coffee,fruit/vegetable juice,,,,,,,,
citrus fruit,waffles,,,,,,,,,
butter milk,mayonnaise,,,,,,,,,
oil,whipped/sour cream,pip fruit,whole milk,,,,,,,
specialty cheese,meat,cat food,bottled beer,newspapers,,,,,,
whole milk,root vegetables,,,,,,,,,
whole milk,root vegetables,curd,yogurt,,,,,,,
other vegetables,soda,pip fruit,brown bread,,,,,,,
sausage,white wine,,,,,,,,,
coffee,sugar,,,,,,,,,
rolls/buns,margarine,,,,,,,,,
pip fruit,waffles,,,,,,,,,
onions,long life bakery product,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
pork,cake bar,,,,,,,,,
root vegetables,dog food,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
fruit/vegetable juice,dessert,,,,,,,,,
herbs,packaged fruit/vegetables,,,,,,,,,
other vegetables,pip fruit,white bread,,,,,,,,
chicken,candy,sugar,,,,,,,,
soft cheese,frozen vegetables,,,,,,,,,
frankfurter,whipped/sour cream,cat food,,,,,,,,
bottled beer,whole milk,tropical fruit,whole milk,house keeping products,,,,,,
soda,whipped/sour cream,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
rolls/buns,domestic eggs,bottled water,,,,,,,,
sausage,chicken,frozen vegetables,whole milk,packaged fruit/vegetables,,,,,,
finished products,rolls/buns,,,,,,,,,
spread cheese,cream cheese ,shopping bags,,,,,,,,
frozen meals,dessert,,,,,,,,,
whole milk,fruit/vegetable juice,rolls/buns,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
pip fruit,liver loaf,root vegetables,rolls/buns,mayonnaise,curd,root vegetables,hard cheese,chocolate,,
canned beer,shopping bags,hard cheese,,,,,,,,
whipped/sour cream,rolls/buns,,,,,,,,,
newspapers,bottled beer,domestic eggs,,,,,,,,
other vegetables,whole milk,UHT-milk,other vegetables,frozen meals,whole milk,salty snack,,,,
sausage,long life bakery product,,,,,,,,,
finished products,frozen vegetables,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
sausage,liquor (appetizer),coffee,,,,,,,,
yogurt,bottled beer,,,,,,,,,
other vegetables,tropical fruit,onions,cream cheese ,root vegetables,root vegetables,yogurt,,,,
salt,cake bar,,,,,,,,,
salty snack,other vegetables,shopping bags,,,,,,,,
hamburger meat,dog food,domestic eggs,,,,,,,,
turkey,UHT-milk,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
other vegetables,grapes,yogurt,butter milk,candy,soft cheese,,,,,
whipped/sour cream,root vegetables,baking powder,,,,,,,,
hamburger meat,grapes,candy,,,,,,,,
pip fruit,domestic eggs,,,,,,,,,
whole milk,dessert,,,,,,,,,
pip fruit,sugar,frozen vegetables,,,,,,,,
whole milk,specialty cheese,,,,,,,,,
bottled water,long life bakery product,rolls/buns,,,,,,,,
whole milk,liver loaf,,,,,,,,,
whole milk,brown bread,,,,,,,,,
spread cheese,whole milk,,,,,,,,,
canned beer,specialty bar,,,,,,,,,
UHT-milk,salty snack,,,,,,,,,
meat,sausage,salty snack,white wine,frozen vegetables,beverages,,,,,
hamburger meat,salty snack,,,,,,,,,
bottled water,butter milk,,,,,,,,,
misc. beverages,curd,,,,,,,,,
dessert,herbs,waffles,,,,,,,,
pork,curd,,,,,,,,,
curd,whole milk,bottled water,,,,,,,,
whole milk,whole milk,,,,,,,,,
bottled beer,beverages,,,,,,,,,
sausage,misc. beverages,,,,,,,,,
root vegetables,ice cream,,,,,,,,,
sausage,ham,shopping bags,whole milk,butter,,,,,,
pastry,fruit/vegetable juice,,,,,,,,,
root vegetables,whole milk,zwieback,,,,,,,,
pip fruit,canned beer,soft cheese,soft cheese,canned fish,semi-finished bread,newspapers,napkins,,,
cream cheese ,whole milk,brown bread,whole milk,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
chicken,sausage,tropical fruit,brown bread,domestic eggs,cake bar,fruit/vegetable juice,canned beer,,,
butter,popcorn,,,,,,,,,
fruit/vegetable juice,baking powder,oil,,,,,,,,
canned beer,dessert,frozen meals,,,,,,,,
meat,pip fruit,yogurt,,,,,,,,
whole milk,spread cheese,bottled water,onions,,,,,,,
roll products ,rice,,,,,,,,,
pork,pasta,fruit/vegetable juice,,,,,,,,
citrus fruit,whole milk,chocolate,,,,,,,,
root vegetables,margarine,rolls/buns,,,,,,,,
tropical fruit,bottled water,dishes,,,,,,,,
canned fish,butter,pot plants,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
pork,yogurt,,,,,,,,,
root vegetables,citrus fruit,,,,,,,,,
hamburger meat,dessert,,,,,,,,,
chicken,whole milk,,,,,,,,,
chicken,butter,,,,,,,,,
pip fruit,whole milk,tropical fruit,,,,,,,,
sparkling wine,canned beer,,,,,,,,,
other vegetables,sausage,tropical fruit,frozen meals,hygiene articles,rolls/buns,,,,,
citrus fruit,cleaner,,,,,,,,,
cling film/bags,ham,,,,,,,,,
soda,dishes,,,,,,,,,
pork,bottled water,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
soda,domestic eggs,,,,,,,,,
soda,whole milk,,,,,,,,,
yogurt,bottled water,,,,,,,,,
cat food,yogurt,bottled beer,pastry,,,,,,,
pip fruit,onions,frozen fish,meat,semi-finished bread,root vegetables,bottled water,whipped/sour cream,,,
sausage,soda,bottled beer,yogurt,,,,,,,
dessert,dental care,,,,,,,,,
berries,curd,,,,,,,,,
other vegetables,liquor,whole milk,butter milk,,,,,,,
dessert,pork,,,,,,,,,
root vegetables,citrus fruit,other vegetables,pork,herbs,,,,,,
beef,yogurt,,,,,,,,,
other vegetables,sweet spreads,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
tropical fruit,newspapers,beef,tropical fruit,domestic eggs,detergent,frozen vegetables,grapes,processed cheese,,
shopping bags,soda,,,,,,,,,
processed cheese,other vegetables,,,,,,,,,
margarine,bottled water,,,,,,,,,
curd,whole milk,red/blush wine,,,,,,,,
rolls/buns,dessert,,,,,,,,,
meat,liver loaf,,,,,,,,,
baking powder,bottled water,,,,,,,,,
tropical fruit,herbs,long life bakery product,,,,,,,,
sausage,herbs,,,,,,,,,
liquor,tropical fruit,other vegetables,,,,,,,,
soda,salt,,,,,,,,,
sausage,chocolate,semi-finished bread,whole milk,rum,bottled beer,,,,,
citrus fruit,beverages,,,,,,,,,
chocolate,dessert,,,,,,,,,
whole milk,pork,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
pip fruit,processed cheese,canned beer,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
yogurt,other vegetables,baking powder,candy,,,,,,,
bottled water,tropical fruit,,,,,,,,,
whole milk,bottled water,,,,,,,,,
female sanitary products,pot plants,,,,,,,,,
pip fruit,white wine,whole milk,,,,,,,,
tropical fruit,hamburger meat,bottled beer,yogurt,,,,,,,
chicken,rolls/buns,,,,,,,,,
grapes,whole milk,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
newspapers,canned beer,,,,,,,,,
sausage,soda,,,,,,,,,
whole milk,candy,,,,,,,,,
pip fruit,male cosmetics,dishes,dessert,rice,,,,,,
white bread,cream cheese ,,,,,,,,,
white bread,brown bread,,,,,,,,,
long life bakery product,napkins,,,,,,,,,
bottled beer,rolls/buns,,,,,,,,,
tropical fruit,UHT-milk,napkins,whole milk,,,,,,,
whole milk,root vegetables,rolls/buns,yogurt,onions,coffee,napkins,UHT-milk,,,
yogurt,other vegetables,soft cheese,,,,,,,,
canned beer,white wine,chocolate,,,,,,,,
ham,white wine,shopping bags,,,,,,,,
canned beer,cake bar,,,,,,,,,
canned beer,pork,processed cheese,root vegetables,snack products,sugar,,,,,
citrus fruit,cream cheese ,waffles,,,,,,,,
frankfurter,dessert,,,,,,,,,
sausage,pasta,,,,,,,,,
waffles,whole milk,shopping bags,flour,shopping bags,,,,,,
ice cream,yogurt,oil,,,,,,,,
tropical fruit,pork,,,,,,,,,
other vegetables,cereals,cleaner,,,,,,,,
hygiene articles,vinegar,,,,,,,,,
rice,jam,,,,,,,,,
dog food,hygiene articles,Instant food products,,,,,,,,
pork,dessert,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
butter,whipped/sour cream,,,,,,,,,
meat,ham,male cosmetics,,,,,,,,
whole milk,white bread,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
root vegetables,pastry,specialty chocolate,,,,,,,,
beverages,beverages,,,,,,,,,
whole milk,female sanitary products,,,,,,,,,
other vegetables,grapes,,,,,,,,,
whole milk,grapes,,,,,,,,,
whole milk,sugar,,,,,,,,,
soda,frozen dessert,pickled vegetables,,,,,,,,
frankfurter,bottled beer,other vegetables,bottled beer,,,,,,,
frankfurter,margarine,whole milk,soda,margarine,brown bread,margarine,frozen vegetables,,,
berries,canned fish,,,,,,,,,
beef,root vegetables,,,,,,,,,
cat food,canned vegetables,,,,,,,,,
berries,pork,whole milk,frozen vegetables,domestic eggs,,,,,,
root vegetables,frozen meals,shopping bags,margarine,,,,,,,
pip fruit,whole milk,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
frozen dessert,misc. beverages,,,,,,,,,
pork,other vegetables,yogurt,shopping bags,soft cheese,detergent,,,,,
chicken,berries,soda,,,,,,,,
bathroom cleaner,whole milk,,,,,,,,,
soda,domestic eggs,artif. sweetener,,,,,,,,
beef,frozen meals,,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
